epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,34233.4,0.97104,2.61962,0.94763,0.49941,0.0696,0.05032,0.03853,1.00735,2.57692,0.96869,6.1506e-06,6.1506e-06,6.1506e-06
80,34627.7,0.97472,2.59763,0.95233,0.49205,0.07526,0.05162,0.03981,0.99855,2.56738,0.96494,5.8833e-06,5.8833e-06,5.8833e-06
81,35096.9,0.97845,2.60876,0.95525,0.49183,0.07497,0.05161,0.03967,1.00739,2.56773,0.96884,5.616e-06,5.616e-06,5.616e-06
82,35578.5,0.9813,2.61171,0.95161,0.49996,0.07447,0.05149,0.03963,1.00701,2.57598,0.96681,5.3487e-06,5.3487e-06,5.3487e-06
83,35996.1,0.97289,2.61764,0.94765,0.49581,0.07425,0.05183,0.03989,1.00739,2.56226,0.96783,5.0814e-06,5.0814e-06,5.0814e-06
84,36421,0.97347,2.62717,0.94707,0.4986,0.07442,0.05384,0.04162,1.00076,2.56964,0.9644,4.8141e-06,4.8141e-06,4.8141e-06
85,36841.8,0.96832,2.64476,0.95378,0.5007,0.07294,0.05322,0.04083,1.00933,2.56409,0.9672,4.5468e-06,4.5468e-06,4.5468e-06
86,37305.5,0.96593,2.61197,0.94651,0.47896,0.07827,0.0532,0.04108,1.00632,2.55928,0.96741,4.2795e-06,4.2795e-06,4.2795e-06
87,37776.6,0.97387,2.61594,0.95256,0.49369,0.07744,0.05293,0.04073,1.00378,2.55711,0.96607,4.0122e-06,4.0122e-06,4.0122e-06
88,38254.1,0.96123,2.60886,0.9528,0.48631,0.0793,0.05285,0.04065,1.00828,2.55686,0.96743,3.7449e-06,3.7449e-06,3.7449e-06
89,38716.4,0.96426,2.60349,0.94648,0.48823,0.07871,0.05306,0.04075,1.0046,2.55216,0.96566,3.4776e-06,3.4776e-06,3.4776e-06
90,39179.6,0.96943,2.59759,0.94863,0.48588,0.07721,0.05266,0.04045,1.00718,2.55227,0.9662,3.2103e-06,3.2103e-06,3.2103e-06
91,39590.8,0.94889,2.60878,0.95214,0.49425,0.07284,0.05133,0.03924,1.01425,2.5695,0.97248,2.943e-06,2.943e-06,2.943e-06
92,39994,0.94713,2.58827,0.95912,0.49465,0.07288,0.0506,0.03872,1.01702,2.57045,0.97795,2.6757e-06,2.6757e-06,2.6757e-06
93,40416.2,0.94486,2.57578,0.95771,0.49656,0.0728,0.05149,0.03948,1.01443,2.5632,0.97638,2.4084e-06,2.4084e-06,2.4084e-06
94,40875.9,0.94535,2.57421,0.95365,0.49727,0.07417,0.05191,0.03984,1.01231,2.55435,0.97367,2.1411e-06,2.1411e-06,2.1411e-06
95,41318.4,0.94789,2.56701,0.95456,0.49703,0.07263,0.05152,0.03953,1.0132,2.55564,0.97435,1.8738e-06,1.8738e-06,1.8738e-06
96,41741.1,0.9441,2.56574,0.95445,0.49762,0.07363,0.05212,0.04009,1.012,2.5509,0.9737,1.6065e-06,1.6065e-06,1.6065e-06
97,42184.7,0.93837,2.56387,0.95,0.49684,0.07417,0.05252,0.04032,1.01406,2.55165,0.97506,1.3392e-06,1.3392e-06,1.3392e-06
98,42644.8,0.95065,2.56826,0.95078,0.49681,0.07375,0.05207,0.03992,1.01076,2.54916,0.97453,1.0719e-06,1.0719e-06,1.0719e-06
99,43102,0.94586,2.56122,0.94818,0.49668,0.07366,0.05272,0.04048,1.01095,2.54646,0.97418,8.046e-07,8.046e-07,8.046e-07
100,43515.7,0.9459,2.55604,0.95611,0.49047,0.07425,0.05248,0.04026,1.0113,2.54788,0.9751,5.373e-07,5.373e-07,5.373e-07
